instruction,input,output
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Specify the e-mail address of the responsible employee,Укажите e-mail ответственного сотрудника
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Identifier in the Diadoc electronic document management system:,Идентификатор в системе электронного документооборота «Диадок»:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Specify your ID in the EDM system,Укажите ваш идентификатор в системе ЭДО
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Account in Russian rubles:,Счет в российских рублях:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","Specify the details in rubles: recipient’s name, recipient’s INN (Taxpayer Identification Number), current account, recipient’s bank, BIC, bank’s correspondent account","Укажите реквизиты в рублях: наименование получателя, ИНН получателя, расчетный счет, банк получателя, БИК, кор.счет банка"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Securities account:,Счет депо:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Specify the details of the securities account (if any),Укажите реквизиты счета депо (при наличии)
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","Party B shall be liable for accuracy of the specified details, shall promptly inform Party A of any changes thereto and shall be liable for any negative consequences associated with inaccuracy, incompleteness and unreliability of the details specified in this Statement of Accession.","Сторона Б несет ответственность за достоверность указанных реквизитов, обязуется незамедлительно информировать Сторону А об их изменении и согласна отвечать за любые негативные последствия, связанные с неточностью, неполнотой и недостоверностью указанных в настоящем Заявлении о присоединении реквизитов."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","4. For the purposes of clauses 7 and 8 of Appendix 1 to the Master Agreement, Party B requests that the following information and contact details be used for matters related to the provision of information to the Repository:","4. В целях пункта 7 и 8 Приложения 1 к Генеральному соглашению Сторона Б просит использовать следующую информацию и контактные данные по вопросам, связанным с предоставлением информации в Репозитарий:"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",The second party to the contract,Вторая сторона по договору
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Specify the name of the organization,Укажите наименование организации
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Identification code of the second party in the Repository,Идентификационный код второй стороны в Репозитарии
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Legal Entity Identifier (LEI/SWIFT/INN/):,"Код идентификации юридического лица (Legal Entity Identifier, LEI/SWIFT/ИНН/):"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","If there is no LEI code, specify the INN of the organization",Укажите ИНН организации в случае отсутствия кода LEI
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",5. Party B hereby notifies of the list of persons authorized to agree on the material terms of the Transactions on behalf of Party B:,"5. Сторона Б настоящим уведомляет о перечне лиц, уполномоченных на согласование существенных условий Сделок от имени Стороны Б:"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","6. Hereby, for the purpose of agreement on the preliminary terms and conditions of the Transaction by authorized persons of Party B via telephone, in accordance with the provisions of the Master Agreement, Party B notifies of selection of the following password (code word): Specify the code word","6. Настоящим, в целях согласования предварительных условий Сделки уполномоченными лицами Стороны Б посредством телефонной связи, в соответствии с положениями Генерального соглашения о Сторона Б уведомляет о выборе следующего пароля (кодового слова): Укажите кодовое слово"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","7. We hereby confirm that, prior to entry into this Master Agreement, we have read its provisions, as hereinafter presented in this document.","7. Подтверждаем, что до заключения Генерального соглашения ознакомились с его положениями, представленными далее в настоящем документе."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",8. We hereby confirm our acceptance of the terms and conditions of the Master Agreement and undertake to comply with them.,8. Подтверждаем своё согласие с условиями Генерального соглашения и обязуемся их выполнять.
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",9. We hereby confirm that the additional statement and representations of Party B contained in clause 5.9 of the Master Agreement are true and valid.,"9. Подтверждаем, что содержащиеся в пункте 5.9 Генерального соглашения дополнительное заявление и заверения Стороны Б являются достоверными и действительными."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",SIGNED/ACCEPTED for and on behalf of Party B,ПОДПИСАНО/АКЦЕПТОВАНО за и от имени Стороны Б
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Position,Должность
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Specify the signatory’s position,Укажите должность подписанта
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Specify the signatory’s full name,Укажите ФИО подписанта
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Signature,Подпись
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Seal here (if applicable),М.П. (при наличии)
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",ACCEPTED/REGISTERED for and on behalf of Party A,ПРИНЯТО/ЗАРЕГИСТРИРОВАНО за и от имени Стороны А
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Position,Должность
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Signature,Подпись
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Date of acceptance,Дата принятия
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Seal here (if applicable),М.П. (при наличии)
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Appendix No. 1,Приложение № 1
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",MASTER AGREEMENT ON FUTURES TRANSACTIONS IN FINANCIAL MARKETS (hereinafter referred to as the “Master Agreement”) is entered into between,"ГЕНЕРАЛЬНОЕ СОГЛАШЕНИЕ О СРОЧНЫХ СДЕЛКАХ НА ФИНАНСОВЫХ РЫНКАХ (далее - ""Генеральное соглашение"") заключено между"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","(2) Legal entity (hereinafter referred to as “Party B”), whose full name, OGRN (Primary State Registration Number), location and details are specified in the Statement of Accession to the standard form of the Master Agreement on Futures Transactions in Financial Markets (hereinafter referred to as the “Statement of Accession”), received by Party A according to the procedure prescribed hereby, represented by the Party B’s representative authorized to enter into this Master Agreement and being a signatory of the Statement of Accession, on the other part,","(2) Юридическим лицом (далее - ""Сторона Б""), полное наименование, ОГРН, местонахождение и реквизиты которого указаны в Заявление о присоединении к стандартной форме генерального соглашения о срочных сделках на финансовых рынках (далее «Заявление о присоединении»), полученном Стороной А в порядке, предусмотренном настоящим Генеральным соглашением, в лице представителя Стороны Б, уполномоченного на заключение настоящего Генерального соглашения и подписавшего Заявление о присоединении, с другой стороны,"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",hereinafter collectively referred to as the “Parties” and individually as a “Party”.,"далее совместно именуемыми ""Стороны"", а по отдельности - ""Сторона""."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Whereas,"Принимая во внимание, что"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","the Parties intend to enter into transactions listed in sub-clauses (a), (b) and (c), clause 2.2, Article 2 of the Indicative Contractual Terms (as defined below), as amended by below clauses 1.5.-1.7., which will be governed by this Master Agreement,","Стороны намереваются заключать сделки, перечисленные в подпунктах (а), (б) и (в) пункта 2.2 статьи 2 Примерных условий договора (определенных ниже) с учетом изменений, содержащихся в п. 1.5. - 1.7. ниже, которые будут регулироваться настоящим Генеральным соглашением,"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",the Parties have agreed upon the following:,Стороны договорились о следующем:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",1. Application of the provisions of the Indicative Contractual Terms and Standard Terms and Conditions. Definition of the terms used in the Master Agreement.,"1. Применение положений Примерных условий договора и Стандартных условий. Определение терминов, используемых в Генеральном соглашении"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","1.1 There are certain terms and conditions of this Master Agreement that are determined by the 2011 Indicative Contractual Terms on Futures Transactions in the Financial Markets developed and approved by the Self-Regulatory (Non-Commercial) Organization “National Association of Securities Market Participants” (NAUFOR), the National Currency Association, and the Association of Russian Banks and posted on their web-pages (hereinafter referred to as the “Indicative Contractual Terms”), as amended by Amendments No. 1 to the Indicative Contractual Terms (hereinafter referred to as the “Amendments to the ICT”) developed by the Self-Regulatory Organization “National Financial Association” (SRO NFA) and approved by the Self-Regulatory Organization “National Financial Association” (SRO NFA), the Association of Russian Banks (ARB), the Association of Banks of Russia (“Russia” Association), and the National Association of Securities Market Participants (NAUFOR) and posted on December 14, 2021 (hereinafter referred to as the “ICT Publication Date”) on the web-pages of the Self-Regulatory Organization “National Financial Association” (SRO NFA), the Association of Russian Banks (ARB), the Association of Russian Banks (“Russia” Association), and the National Association of Securities Market Participants (NAUFOR), taking into account the amendments and additions established in the Master Agreement. In pursuance of the Indicative Contractual Terms as part of this Master Agreement, references to the Transactions in the Indicative Contractual Terms shall be considered exclusively as references to the Transactions concluded in accordance with this Master Agreement.","1.1 Отдельные условия настоящего Генерального соглашения определяются Примерными условиями договора о срочных сделках на финансовых рынках 2011 г., разработанными и утвержденными Саморегулируемой (некоммерческой) организацией ""Национальная ассоциация участников фондового рынка"" (НАУФОР), Национальной Валютной Ассоциацией и Ассоциацией российских банков, и опубликованными на их страницах в сети Интернет (далее - ""Примерные условия договора"") в редакции Изменений № 1 в Примерные условия договора (далее – «Изменения ПУД»), разработанные Саморегулируемой организацией ""Национальная финансовая ассоциация"" (СРО НФА) и утвержденные Саморегулируемой организацией ""Национальная финансовая ассоциация"" (СРО НФА), Ассоциацией российских банков (АРБ), Ассоциацией банков России (Ассоциацией ""Россия"") и Национальной ассоциацией участников фондового рынка (НАУФОР) и опубликованные «14» декабря 2021 года (далее - ""Дата опубликования ПУД"") в сети Интернет на страницах Саморегулируемой организации ""Национальная финансовая ассоциация"" (СРО НФА), Ассоциации российских банков (АРБ), Ассоциации банков России (Ассоциации ""Россия"") и Национальной ассоциации участников фондового рынка (НАУФОР), с учетом изменений и дополнений, установленных в Генеральном соглашении. При этом для целей применения Примерных условий договора как части настоящего Генерального соглашения ссылки на Сделки в Примерных условиях договора считаются исключительно ссылками на Сделки, заключенные в соответствии с настоящим Генеральным соглашением."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","1.2 All the capitalized terms in the Master Agreement shall have the meaning specified in Article 12 of the Indicative Contractual Terms, unless otherwise provided for by the Master Agreement.","1.2 Термины, используемые с заглавной буквы в Генеральном соглашении, имеют значение, указанное в статье 12 Примерных условий договора, если Генеральным соглашением не предусмотрено иное."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","1.3 The Standard Terms and Conditions shall apply to the relations of the Parties under the Transaction (a) in the case of a reference to these Standard Terms and Conditions in the Confirmation, or (b) in the absence of such a reference, if the application of the Standard Terms and Conditions to the relations of the Parties under the Transaction is determined by the Transaction terms, or (c) in accordance with clause 1.3, Article 1 of the Indicative Contractual Terms.","1.3 Стандартные условия применяются к отношениям Сторон по Сделке (а) в случае ссылки на эти Стандартные условия в Подтверждении, или (б) в отсутствие такой ссылки, если применение Стандартных условий к отношениям Сторон по Сделке следует из условий Сделки, или (в) в соответствии с пунктом 1.3 статьи 1 Примерных условий договора."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","1.4 A Transaction which, in accordance with the legislation of the Russian Federation, is recognized as a derivative financial instrument upon indication thereof in the terms of the respective Transaction, shall be a derivative financial instrument on the basis of this clause without the need for an indication thereof in the Confirmation, unless the Parties have expressly provided otherwise with respect to the respective Transaction in the Confirmation.","1.4 Сделка, которая в соответствии с законодательством Российской Федерации признается производным финансовым инструментом при указании об этом в условиях соответствующей Сделки, является производным финансовым инструментом на основании настоящего пункта без необходимости указания об этом в Подтверждении, если Стороны прямо не предусмотрели иное применительно к соответствующей Сделке в Подтверждении."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",1.5 Sub-clause (a) of clause 2.2. of the Indicative Contractual Terms shall be set out as follows:,1.5 Подпункт (а) пункта 2.2. Примерных условий договора изложить в следующей редакции:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","“The Transactions governed by the Indicative Contractual Terms shall include: contracts that are derivative financial instruments, including: currency forward transactions, open forward transactions, currency option transactions, forward transactions on shares, bonds or stock indices, option transactions on shares, bonds or stock indices, commodity option or swaption transactions, transactions fixing the maximum price of a commodity, transactions fixing the minimum price of a commodity, transactions fixing the maximum and minimum price of a commodity, commodity forward transactions, contracts on payment of floating margin amounts, other similar transactions (including options on the said transactions) and transactions that represent a combination of the said transactions.”","«К Сделкам, регулируемыми Примерными условиями договора, относятся: договоры, являющиеся производными финансовыми инструментами, в том числе: сделки валютный форвард, сделки открытый форвард, сделки валютный опцион, сделки форвард на акции, облигации или фондовые индексы, сделки опцион на акции, облигации или фондовые индексы, сделки товарный опцион или свопцион, сделки фиксации максимума цены товара, сделки фиксации минимума цены товара, сделки фиксации максимума и минимума цены товара, сделки товарный форвард, договоры об уплате плавающих маржевых сумм, иные аналогичные сделки (включая опционы на названные сделки) и сделки, представляющие собой сочетание названных сделок.»"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",1.6 Sub-clause (b) of clause 2.2. of the Indicative Contractual Terms shall be set out as follows:,1.6 Подпункт (б) пункта 2.2. Примерных условий договора изложить в следующей редакции:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","“(b) contracts that are not derivative financial instruments, whose object includes securities (except for repurchase agreements), settlements under which are made no earlier than the third Business Day after the date of their conclusion, if the Parties have provided this for in the Master Agreement or Confirmation; and”","«(б) договоры, не являющиеся производными финансовыми инструментами, объектом которых являются ценные бумаги (кроме договоров репо), расчеты по которым производятся не ранее третьего Рабочего дня после даты их заключения, если Стороны предусмотрели это в Генеральном соглашении или Подтверждении; и»"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","1.7 Notwithstanding any other provisions to the contrary, no Transactions may be concluded under the Master Agreement, including those that are derivative financial instruments, the obligations under which involve the purchase and sale of foreign currency (delivery of foreign currency as the underlying asset and/or subject of the Transaction), as well as [fulfillment of obligations under which requires payment in foreign currency, if making such payment would be contrary to the legislation of the Russian Federation on the currency regulation and currency control].","1.7 Несмотря на любые иные положения об обратном, в рамках Генерального соглашения не могут заключаться Сделки, в том числе являющиеся производными финансовыми инструментами, обязательства по которым предполагают совершение купли-продажи иностранной валюты (поставки иностранной валюты в качестве базового актива и/или предмета Сделки), а также [исполнение обязательств по которым требует совершение платежа в иностранной валюте, если совершение такого платежа будет противоречить законодательству РФ о валютном регулировании и валютном контроле]."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",2. Conclusion and Confirmation of the Transactions,2. Заключение и подтверждение Сделок
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Conclusion of the Transactions,Заключение Сделок
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","2.1 The Parties shall negotiate material and other terms of the Transactions in accordance with clauses 2.3-2.6 of the Indicative Contractual Terms. To conclude the Transaction, the Parties may also use the telephone. If, when negotiating material and other terms of the Transaction by telephone, the Parties agreed to exchange emails containing material and other terms of the Transaction previously negotiated by the Parties by telephone, the Transaction shall be deemed concluded regardless of the exchange of emails.","2.1 Стороны согласовывают существенные и иные условия Сделок в соответствии с пунктами 2.3 – 2.6 Примерных условий договора. Для заключения Сделки Стороны также могут использовать телефон. В случае если при согласовании существенных и иных условий Сделки по телефону Стороны договорились об обмене сообщениями по электронной почте, содержащими существенные и иные условия Сделки, ранее согласованные Сторонами по телефону, Сделка считается заключенной вне зависимости от обмена сообщениями по электронной почте."
